section,key,count
summary,total_videos,411
summary,unique_youtube_video_ids,411
summary,unique_internal_ids,411
summary,unique_youtube_urls,411
summary,duplicates,0
summary,missing_required_fields,0
summary,broken_or_unverified_links_recorded,0
summary,contains_marketing,191
validation,checks_passed,25131
validation,checks_failed,0
learning_paths,count,17
learning_paths,steps,136
learning_paths,primary_video_references,253
learning_paths,alternative_video_references,163
by_language,en,342
by_language,he,69
by_domain,mixed,38
by_domain,offroad_adventure,107
by_domain,practice,65
by_domain,road,104
by_domain,safety_recovery,59
by_domain,touring_travel,38
by_skill_level,advanced,19
by_skill_level,advanced_beginner,122
by_skill_level,beginner,165
by_skill_level,intermediate,105
by_primary_category,balance_slow_control,10
by_primary_category,bike_selection,2
by_primary_category,controls_coordination,9
by_primary_category,descents,8
by_primary_category,drills,10
by_primary_category,electronic_aids,4
by_primary_category,emergency_braking,11
by_primary_category,ergonomics,7
by_primary_category,fatigue_management,11
by_primary_category,gravel_dirt,8
by_primary_category,group_riding,3
by_primary_category,hills,11
by_primary_category,intercoms_communications,4
by_primary_category,international_touring,1
by_primary_category,lifting,5
by_primary_category,loose_rock,4
by_primary_category,mechanical_emergencies,1
by_primary_category,mindful_riding,1
by_primary_category,motorcycle_maintenance,14
by_primary_category,mud_wet,4
by_primary_category,obstacles,12
by_primary_category,offroad_basics,18
by_primary_category,offroad_braking,3
by_primary_category,offroad_turning,5
by_primary_category,packing_luggage,1
by_primary_category,passenger_riding,10
by_primary_category,pre_trip_inspection,4
by_primary_category,protective_gear,17
by_primary_category,recovery,5
by_primary_category,riding_position,13
by_primary_category,road_braking,5
by_primary_category,road_cornering,38
by_primary_category,road_strategy,35
by_primary_category,roadside_repairs,5
by_primary_category,route_navigation,12
by_primary_category,ruts,5
by_primary_category,sand,10
by_primary_category,solo_group_safety,7
by_primary_category,suspension_setup,7
by_primary_category,tires_setup,11
by_primary_category,touring_planning,1
by_primary_category,training_courses,8
by_primary_category,trip_preparation,11
by_primary_category,u_turns_low_speed,16
by_primary_category,water_crossings,8
by_primary_category,wet_weather,16
by_evidence_type,captions_available,2
by_evidence_type,chapters,212
by_evidence_type,description,411
by_evidence_type,transcript,319
by_evidence_type,visual_review,8
by_evidence_type,youtube_search_metadata,21
classification_confidence,high,330
classification_confidence,medium,81
quality_scores,3,78
quality_scores,4,158
quality_scores,5,175
coverage,with_published_date,386
coverage,with_duration,411
coverage,with_subtitles,343
coverage,with_chapters,193
coverage,with_related_videos,405
